nginx_1    | 2021-09-07T21:17:57.860656230Z 84.18.98.126 - - [07/Sep/2021:21:17:57 +0000] "POST /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:58.206101682Z 172.18.0.4 - - [07/Sep/2021 21:17:58] "POST /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:58.207137960Z 84.18.98.126 - - [07/Sep/2021:21:17:58 +0000] "POST /transaction HTTP/1.1" 200 147 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:58.576432845Z 172.18.0.4 - - [07/Sep/2021 21:17:58] "POST /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:58.577492279Z 84.18.98.126 - - [07/Sep/2021:21:17:58 +0000] "POST /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:58.984536095Z 172.18.0.4 - - [07/Sep/2021 21:17:58] "POST /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:58.985545190Z 84.18.98.126 - - [07/Sep/2021:21:17:58 +0000] "POST /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:59.289183626Z 172.18.0.4 - - [07/Sep/2021 21:17:59] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:59.290204622Z 84.18.98.126 - - [07/Sep/2021:21:17:59 +0000] "GET /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:59.701386851Z 172.18.0.4 - - [07/Sep/2021 21:17:59] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:59.702395669Z 84.18.98.126 - - [07/Sep/2021:21:17:59 +0000] "GET /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:00.112709306Z 172.18.0.4 - - [07/Sep/2021 21:18:00] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:00.113740425Z 84.18.98.126 - - [07/Sep/2021:21:18:00 +0000] "GET /transaction HTTP/1.1" 200 147 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:00.522101225Z 172.18.0.4 - - [07/Sep/2021 21:18:00] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:00.523161371Z 84.18.98.126 - - [07/Sep/2021:21:18:00 +0000] "GET /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:00.865730666Z 172.18.0.4 - - [07/Sep/2021 21:18:00] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:00.866766788Z 84.18.98.126 - - [07/Sep/2021:21:18:00 +0000] "GET /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:01.175420458Z 172.18.0.4 - - [07/Sep/2021 21:18:01] "GET /query HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:01.176521647Z 84.18.98.126 - - [07/Sep/2021:21:18:01 +0000] "GET /query HTTP/1.1" 200 321 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:01.544943951Z 172.18.0.4 - - [07/Sep/2021 21:18:01] "DELETE /reset HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:01.545999206Z 84.18.98.126 - - [07/Sep/2021:21:18:01 +0000] "DELETE /reset HTTP/1.1" 200 0 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:01.897257576Z 172.18.0.4 - - [07/Sep/2021 21:18:01] "POST /user HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:01.898356920Z 84.18.98.126 - - [07/Sep/2021:21:18:01 +0000] "POST /user HTTP/1.1" 200 154 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:02.212727903Z 172.18.0.4 - - [07/Sep/2021 21:18:02] "POST /user HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:02.213790087Z 84.18.98.126 - - [07/Sep/2021:21:18:02 +0000] "POST /user HTTP/1.1" 200 154 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:02.668859078Z 172.18.0.4 - - [07/Sep/2021 21:18:02] "GET /user HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:02.669913723Z 84.18.98.126 - - [07/Sep/2021:21:18:02 +0000] "GET /user HTTP/1.1" 200 154 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:03.080322403Z 172.18.0.4 - - [07/Sep/2021 21:18:03] "GET /user HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:03.081313983Z 84.18.98.126 - - [07/Sep/2021:21:18:03 +0000] "GET /user HTTP/1.1" 200 154 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:03.492076599Z 172.18.0.4 - - [07/Sep/2021 21:18:03] "POST /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:03.493106684Z 84.18.98.126 - - [07/Sep/2021:21:18:03 +0000] "POST /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:03.900269276Z 172.18.0.4 - - [07/Sep/2021 21:18:03] "POST /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:03.901310133Z 84.18.98.126 - - [07/Sep/2021:21:18:03 +0000] "POST /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:04.312554955Z 172.18.0.4 - - [07/Sep/2021 21:18:04] "POST /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:04.313550922Z 84.18.98.126 - - [07/Sep/2021:21:18:04 +0000] "POST /transaction HTTP/1.1" 200 147 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:04.721377642Z 172.18.0.4 - - [07/Sep/2021 21:18:04] "POST /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:04.722390560Z 84.18.98.126 - - [07/Sep/2021:21:18:04 +0000] "POST /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:05.066324789Z 172.18.0.4 - - [07/Sep/2021 21:18:05] "POST /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:05.067369639Z 84.18.98.126 - - [07/Sep/2021:21:18:05 +0000] "POST /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:05.434278196Z 172.18.0.4 - - [07/Sep/2021 21:18:05] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:05.435340119Z 84.18.98.126 - - [07/Sep/2021:21:18:05 +0000] "GET /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:05.843395599Z 172.18.0.4 - - [07/Sep/2021 21:18:05] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:05.844487277Z 84.18.98.126 - - [07/Sep/2021:21:18:05 +0000] "GET /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:06.252954817Z 172.18.0.4 - - [07/Sep/2021 21:18:06] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:06.253947470Z 84.18.98.126 - - [07/Sep/2021:21:18:06 +0000] "GET /transaction HTTP/1.1" 200 147 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:06.662748799Z 172.18.0.4 - - [07/Sep/2021 21:18:06] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:06.663777929Z 84.18.98.126 - - [07/Sep/2021:21:18:06 +0000] "GET /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:07.074228367Z 172.18.0.4 - - [07/Sep/2021 21:18:07] "GET /transaction HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:07.075252516Z 84.18.98.126 - - [07/Sep/2021:21:18:07 +0000] "GET /transaction HTTP/1.1" 200 146 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:07.483784165Z 172.18.0.4 - - [07/Sep/2021 21:18:07] "GET /query HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:18:07.484801002Z 84.18.98.126 - - [07/Sep/2021:21:18:07 +0000] "GET /query HTTP/1.1" 200 176 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:18:07.894231399Z 172.18.0.4 - - [07/Sep/2021 21:18:07] "DELETE /reset HTTP/1.0" 200 -
